,code,name,grade_band,enrollment_SY1718,enrollment_SY1819,star_score_SY1718,star_score_SY1819,star_rating_SY1718,star_rating_SY1819,capacity_SY1718,capacity_SY1819,latitude,longitude,cluster,ward,count_any_SY1819,count_0_SY1819,pct_0_SY1819,count_1-5_SY1819,pct_1-5_SY1819,count_6-10_SY1819,pct_6-10_SY1819,count_11-20_SY1819,pct_11-20_SY1819,count_20+_SY1819,pct_20+_SY1819,count_any_SY1718,count_0_SY1718,pct_0_SY1718,count_1-5_SY1718,pct_1-5_SY1718,count_6-10_SY1718,pct_6-10__SY1718,count_11-20_SY1718,pct_11-20_SY1718,count_20+_SY1718,pct_20+_SY1718,budgeted_amount_FY16,budgeted_enrollment_FY16,budgeted_amount_FY17,budgeted_enrollment_FY17,pct_meet_exceed_math_SY1718,pct_meet_exceed_ela_SY1718,pct_meet_exceed_math_SY1819,pct_meet_exceed_ela_SY1819
11,224.0,Cleveland Elementary School,Elementary,317.0,304.0,47.37,49.16,3.0,3.0,346.0,346.0,38.91514529,-77.02270718,3.0,1.0,206.0,98.0,0.322368421,123.0,0.404605263,48.0,0.15789473699999998,30.0,0.098684211,5.0,0.016447368,206.0,111.0,0.350157729,148.0,0.46687697200000006,39.0,0.123028391,14.0,0.044164037999999996,5.0,0.015772871,7495484.352999999,3170.0,4012949.0,2879049.0,0.24100000000000002,0.33899999999999997,0.312,0.26899999999999996
12,227.0,H D Cooke Elementary School,Elementary,404.0,387.0,71.4,52.53,4.0,3.0,441.0,441.0,38.92394309,-77.03881058,1.0,1.0,282.0,105.0,0.271317829,162.0,0.418604651,67.0,0.173126615,53.0,0.136950904,0.0,0.0,293.0,111.0,0.274752475,163.0,0.40346534700000003,64.0,0.158415842,47.0,0.11633663400000001,19.0,0.047029703,11088895.9,3950.0,5632610.0,3578084.0,0.518,0.285,0.423,0.38299999999999995
13,231.0,Drew Elementary School,Elementary,272.0,236.0,30.73,20.4,2.0,2.0,362.0,362.0,38.89599397,-76.91992701,31.0,7.0,212.0,24.0,0.101694915,95.0,0.40254237299999995,59.0,0.25,38.0,0.161016949,20.0,0.084745763,245.0,27.0,0.099264706,90.0,0.330882353,94.0,0.345588235,47.0,0.172794118,14.0,0.051470588,6514431.606000001,2200.0,3521707.0,2350996.0,0.125,0.13699999999999998,0.175,0.16699999999999998
14,232.0,Eaton Elementary School,Elementary,476.0,474.0,88.24,72.54,5.0,4.0,451.0,451.0,38.93272707,-77.06582114,15.0,3.0,293.0,181.0,0.38185654,260.0,0.548523207,23.0,0.048523207,5.0,0.010548523,5.0,0.010548523,261.0,215.0,0.451680672,256.0,0.537815126,5.0,0.010504201999999999,0.0,0.0,0.0,0.0,8591750.0,4770.0,4295001.0,3602054.0,0.7190000000000001,0.7340000000000001,0.7509999999999999,0.69
15,238.0,Garfield Elementary School,Elementary,301.0,291.0,32.1,21.94,2.0,2.0,381.0,381.0,38.85173338,-76.97080478,36.0,8.0,258.0,33.0,0.113402062,112.0,0.384879725,99.0,0.340206186,22.0,0.075601375,25.0,0.085910653,256.0,45.0,0.149501661,127.0,0.42192691,103.0,0.342192691,21.0,0.069767442,5.0,0.016611296,7432684.904,2970.0,4272427.0,2770000.0,0.182,0.158,0.132,0.14400000000000002
16,239.0,Garrison Elementary School,Elementary,250.0,277.0,57.94,78.16,3.0,4.0,356.0,356.0,38.91390129,-77.02861256,7.0,2.0,168.0,109.0,0.393501805,113.0,0.40794223799999996,32.0,0.11552346599999999,18.0,0.064981949,5.0,0.018050542,170.0,80.0,0.32,130.0,0.52,30.0,0.12,5.0,0.02,5.0,0.02,8010140.237000001,2600.0,4031624.0,2377449.0,0.253,0.152,0.387,0.48
17,246.0,Hardy Middle School,Middle,392.0,451.0,82.74,90.44,5.0,5.0,485.0,485.0,38.91550903,-77.0686139,4.0,2.0,370.0,81.0,0.179600887,301.0,0.667405765,42.0,0.09312638599999999,10.0,0.022172948999999997,17.0,0.037694013,308.0,84.0,0.214285714,282.0,0.719387755,16.0,0.040816327,5.0,0.012755101999999999,5.0,0.012755101999999999,8879999.999,3800.0,4464986.0,3313663.0,0.574,0.457,0.674,0.429
18,247.0,C W Harris Elementary School,Elementary,278.0,232.0,18.59,22.08,1.0,2.0,339.0,339.0,38.88359883,-76.92611550000001,33.0,7.0,195.0,37.0,0.159482759,76.0,0.327586207,58.0,0.25,44.0,0.18965517199999998,17.0,0.073275862,242.0,36.0,0.129496403,118.0,0.42446043200000005,73.0,0.26258992800000003,37.0,0.133093525,14.0,0.050359712,8655997.782,3090.0,4268503.0,2546152.0,0.125,0.091,0.08,0.09
19,249.0,Hendley Elementary School,Elementary,379.0,366.0,27.46,35.84,2.0,2.0,479.0,479.0,38.82898591,-76.99918485,39.0,8.0,340.0,26.0,0.071038251,84.0,0.229508197,121.0,0.330601093,104.0,0.284153005,31.0,0.08469945400000001,380.0,-1.0,-0.002638522,82.0,0.216358839,108.0,0.284960422,115.0,0.30343007899999996,75.0,0.197889182,11042737.18,5100.0,5644737.0,3831414.0,0.085,0.08800000000000001,0.063,0.204
20,251.0,Houston Elementary School,Elementary,269.0,277.0,30.0,26.18,2.0,2.0,419.0,419.0,38.90541532,-76.92994765,31.0,7.0,200.0,77.0,0.27797833899999996,100.0,0.36101083,57.0,0.205776173,38.0,0.137184116,5.0,0.018050542,223.0,46.0,0.171003717,92.0,0.342007435,64.0,0.23791821600000002,47.0,0.17472119,20.0,0.074349442,7296074.686000001,2910.0,3809965.0,2275149.0,0.138,0.138,0.098,0.076
