,school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718,school_budgeted_amount_FY16,school_budgeted_enrollment_FY16,school_budgeted_amount_FY17,school_budgeted_enrollment_FY17,school_capacity_pct_SY1819,school_capacity_pct_SY1718,students_with_absences_SY1819,students_with_absences_SY1718,pct_of_absences_1-5_SY1819,pct_of_student_absences_1-5_SY1819,pct_of_absences_6-10_SY1819,pct_of_student_absences_6-10_SY1819,pct_of_absences_11-20_SY1819,pct_of_student_absences_11-20_SY1819,pct_of_absences_20+_SY1819,pct_of_student_absences_20+_SY1819,pct_of_absences_1-5_SY1718,pct_of_absences_6-10_SY1718,pct_of_absences_11-20_SY1718,pct_of_absences_20+_SY1718,pct_of_student_absences_1-5_SY1718,pct_of_student_absences_6-10_SY1718,pct_of_student_absences_11-20_SY1718,pct_of_student_absences_20+_SY1718,cluster_Count of English Learner Students,cluster_English Learner Students as  share of Neighborhood Cluster,cluster_Count of At Risk Students,cluster_At Risk as share of Neighborhood Cluster,cluster_Count of Special Education Students,cluster_Special Education Students as share of Neighborhood Cluster,cluster_Sum of Enrollment by Sector and Grade Band
10,DCPS,213,Brightwood Education Campus,PK3-8th,757.0,57.15,3.0,1069.0,312.0,38.96053573,-77.03068885,Cluster 18,Ward 4,Education Campus/Multi,737.0,59.87,3.0,1069.0,332.0,720.0,399.0,150.0,62.0,27.0,712.0,407.0,155.0,52.0,12.0,17816696.248652894,6700.0,8951669.0,5271217.0,0.7081384471468662,0.6894293732460243,638.0,626.0,0.6253918495297806,0.5270805812417437,0.2351097178683385,0.1981505944517833,0.0971786833855799,0.0819022457067371,0.0423197492163009,0.035667107001321,0.6501597444089456,0.2476038338658147,0.0830670926517571,0.0191693290734824,0.5522388059701493,0.2103120759837177,0.0705563093622795,0.0162822252374491,2164,0.32,2406,0.36,883,0.13,7949
11,DCPS,347,Brookland Middle School,6th-8th,270.0,41.16,3.0,534.0,264.0,38.93874518,-76.99114684,Cluster 20,Ward 5,Middle,238.0,18.56,1.0,534.0,296.0,,,,,,,,,,,,,3793656.0,2327185.0,0.5056179775280899,0.445692883895131,,,,,,,,,,,,,,,,,,,125,0.1,371,0.28,179,0.14,1060
12,DCPS,404,Browne Education Campus,PK3-8th,371.0,28.62,2.0,828.0,457.0,38.90259888,-76.97066706,Cluster 23,Ward 5,Education Campus/Multi,325.0,32.78,2.0,828.0,503.0,343.0,131.0,98.0,60.0,30.0,317.0,157.0,69.0,35.0,12.0,10587752.007446,3360.0,5147917.0,3485916.0,0.4480676328502415,0.392512077294686,319.0,273.0,0.4106583072100313,0.353099730458221,0.3072100313479624,0.2641509433962264,0.1880877742946708,0.1617250673854447,0.0940438871473354,0.0808625336927223,0.575091575091575,0.2527472527472527,0.1282051282051282,0.0439560439560439,0.483076923076923,0.2123076923076923,0.1076923076923077,0.0369230769230769,275,0.1,1581,0.56,458,0.16,3453
13,DCPS,296,Bruce-Monroe Elementary School @ Park View,PK3-5th,451.0,69.1,4.0,609.0,158.0,38.9344141,-77.02118567,Cluster 2,Ward 1,Elementary,473.0,49.24,3.0,609.0,136.0,380.0,230.0,38.0,17.0,5.0,397.0,254.0,46.0,14.0,10.0,13989297.550336411,4780.0,6756915.0,4091070.0,0.7405582922824302,0.7766830870279147,290.0,324.0,0.7931034482758621,0.5099778270509978,0.1310344827586207,0.0842572062084257,0.0586206896551724,0.0376940133037694,0.0172413793103448,0.0110864745011086,0.7839506172839507,0.1419753086419753,0.0432098765432098,0.0308641975308641,0.5369978858350951,0.0972515856236786,0.0295983086680761,0.0211416490486257,2276,0.37,2467,0.42,889,0.14,8171
14,DCPS,219,Bunker Hill Elementary School,PK3-5th,221.0,34.72,2.0,577.0,356.0,38.94201247,-76.98499564,Cluster 20,Ward 5,Elementary,200.0,49.18,3.0,577.0,377.0,191.0,101.0,40.0,19.0,5.0,163.0,80.0,48.0,22.0,5.0,4573150.18098785,1500.0,2431546.0,1873046.0,0.3830155979202773,0.3466204506065858,165.0,155.0,0.6121212121212121,0.4570135746606334,0.2424242424242424,0.1809954751131221,0.1151515151515151,0.085972850678733,0.0303030303030303,0.0226244343891402,0.5161290322580645,0.3096774193548387,0.1419354838709677,0.032258064516129,0.4,0.24,0.11,0.025,125,0.1,371,0.28,179,0.14,1060
15,DCPS,220,Burroughs Elementary School,PK3-5th,273.0,62.14,4.0,450.0,177.0,38.93350266,-76.97845637,Cluster 22,Ward 5,Elementary,282.0,58.66,3.0,450.0,168.0,209.0,87.0,68.0,24.0,15.0,222.0,84.0,63.0,48.0,16.0,7657455.691328352,2500.0,3850677.0,2558075.0,0.6066666666666667,0.6266666666666667,194.0,211.0,0.4484536082474227,0.3186813186813186,0.3505154639175257,0.2490842490842491,0.1237113402061855,0.0879120879120879,0.0773195876288659,0.0549450549450549,0.3981042654028436,0.2985781990521327,0.2274881516587677,0.0758293838862559,0.2978723404255319,0.2234042553191489,0.1702127659574468,0.0567375886524822,212,0.09,1052,0.44,342,0.14,2235
16,DCPS,221,Burrville Elementary School,PK3-5th,295.0,61.44,4.0,400.0,105.0,38.90056577,-76.92445918,Cluster 31,Ward 7,Elementary,300.0,31.72,2.0,400.0,100.0,217.0,79.0,81.0,35.0,15.0,244.0,59.0,78.0,78.0,22.0,8266426.12198275,3780.0,4070932.0,3084782.0,0.7375,0.75,210.0,237.0,0.3761904761904762,0.2677966101694915,0.3857142857142857,0.2745762711864407,0.1666666666666666,0.1186440677966101,0.0714285714285714,0.0508474576271186,0.2489451476793249,0.3291139240506329,0.3291139240506329,0.0928270042194092,0.1966666666666666,0.26,0.26,0.0733333333333333,71,0.02,2089,0.61,612,0.18,3518
17,DCPS,247,C W Harris Elementary School,PK3-5th,232.0,22.08,2.0,0.0,0.0,38.88359883,-76.9261155,Cluster 33,Ward 7,Elementary,278.0,18.59,1.0,339.0,61.0,206.0,76.0,58.0,44.0,17.0,251.0,118.0,73.0,37.0,14.0,8655997.781639602,3090.0,4268503.0,2546152.0,inf,0.8200589970501475,195.0,242.0,0.3897435897435897,0.3275862068965517,0.2974358974358974,0.25,0.2256410256410256,0.1896551724137931,0.0871794871794871,0.0732758620689655,0.4876033057851239,0.3016528925619834,0.152892561983471,0.0578512396694214,0.4244604316546763,0.2625899280575539,0.1330935251798561,0.0503597122302158,177,0.04,2632,0.57,748,0.16,3242
18,DCPS,360,Capitol Hill Montessori School @ Logan,PK3-8th,362.0,65.7,4.0,392.0,30.0,38.89853031,-77.00256647,Cluster 25,Ward 6,Education Campus/Multi,365.0,54.34,3.0,392.0,27.0,259.0,147.0,47.0,24.0,12.0,259.0,137.0,71.0,29.0,5.0,6855939.997392878,3390.0,3697662.0,3306988.0,0.923469387755102,0.9311224489795918,230.0,242.0,0.6391304347826087,0.4060773480662983,0.2043478260869565,0.1298342541436464,0.1043478260869565,0.0662983425414364,0.0521739130434782,0.0331491712707182,0.5661157024793388,0.2933884297520661,0.1198347107438016,0.0206611570247933,0.3753424657534246,0.1945205479452054,0.0794520547945205,0.0136986301369863,75,0.02,1009,0.33,387,0.13,4903
19,DCPS,454,Cardozo Education Campus,6th-12th,746.0,16.17,1.0,1070.0,324.0,38.92217286,-77.02847069,Cluster 2,Ward 1,Education Campus/Multi,788.0,15.12,1.0,1070.0,282.0,717.0,95.0,95.0,153.0,364.0,730.0,111.0,125.0,164.0,316.0,25095524.008020498,8440.0,13473353.0,6689482.0,0.697196261682243,0.7364485981308411,707.0,716.0,0.1343705799151343,0.1273458445040214,0.1343705799151343,0.1273458445040214,0.2164073550212164,0.2050938337801608,0.5148514851485149,0.4879356568364611,0.1550279329608938,0.1745810055865921,0.2290502793296089,0.441340782122905,0.1408629441624365,0.1586294416243654,0.2081218274111675,0.4010152284263959,2276,0.37,2467,0.42,889,0.14,8171
