code,name,grade_band,enrollment_SY1718,enrollment_SY1819,star_score_SY1718,star_score_SY1819,star_rating_SY1718,star_rating_SY1819,capacity_SY1718,capacity_SY1819,latitude,longitude,cluster,ward,count_any_SY1819,count_0_SY1819,pct_0_SY1819,count_1-5_SY1819,pct_1-5_SY1819,count_6-10_SY1819,pct_6-10_SY1819,count_11-20_SY1819,pct_11-20_SY1819,count_20+_SY1819,pct_20+_SY1819,count_any_SY1718,count_0_SY1718,pct_0_SY1718,count_1-5_SY1718,pct_1-5_SY1718,count_6-10_SY1718,pct_6-10__SY1718,count_11-20_SY1718,pct_11-20_SY1718,count_20+_SY1718,pct_20+_SY1718,budgeted_amount_FY16,budgeted_enrollment_FY16,budgeted_amount_FY17,budgeted_enrollment_FY17
247,C W Harris Elementary School,Elementary,278,232,18.59,22.08,1,2,339,339,38.88359883,-76.9261155,33,7,195,37,0.159482759,76,0.327586207,58,0.25,44,0.189655172,17,0.073275862,242,36,0.129496403,118,0.424460432,73,0.262589928,37,0.133093525,14,0.050359712,8655997.782,3090,4268503,2546152
249,Hendley Elementary School,Elementary,379,366,27.46,35.84,2,2,479,479,38.82898591,-76.99918485,39,8,340,26,0.071038251,84,0.229508197,121,0.330601093,104,0.284153005,31,0.084699454,380,-1,-0.002638522,82,0.216358839,108,0.284960422,115,0.303430079,75,0.197889182,11042737.18,5100,5644737,3831414
251,Houston Elementary School,Elementary,269,277,30,26.18,2,2,419,419,38.90541532,-76.92994765,31,7,200,77,0.277978339,100,0.36101083,57,0.205776173,38,0.137184116,5,0.018050542,223,46,0.171003717,92,0.342007435,64,0.237918216,47,0.17472119,20,0.074349442,7296074.686,2910,3809965,2275149
252,Hyde-Addison Elementary School,Elementary,320,352,87.57,60.69,5,4,320,320,38.92282623,-77.02659252,2,1,228,124,0.352272727,167,0.474431818,38,0.107954545,5,0.014204545,18,0.051136364,220,100,0.3125,172,0.5375,43,0.134375,5,0.015625,0,0,6897653.435,3220,3331477,2867084
254,Janney Elementary School,Elementary,737,739,88.2,83.03,5,5,722,722,38.94755042,-77.08099483,11,3,461,278,0.376184032,427,0.577807848,24,0.032476319,5,0.0067659,5,0.0067659,535,202,0.274084125,506,0.686567164,24,0.03256445,5,0.006784261,0,0,13141750,7300,6602473,5039961
257,Ketcham Elementary School,Elementary,310,300,49,42.18,3,3,325,325,38.86604269,-76.98362116,28,8,282,18,0.06,57,0.19,67,0.223333333,69,0.23,89,0.296666667,265,45,0.14516129,67,0.216129032,88,0.283870968,90,0.290322581,20,0.064516129,7445356.125,3200,3911474,2687586
258,Hearst Elementary School,Elementary,312,331,75.17,66.61,4,4,344,344,38.94072265,-77.07195522,15,3,201,130,0.392749245,172,0.519637462,24,0.072507553,5,0.01510574,0,0,212,100,0.320512821,183,0.586538462,24,0.076923077,5,0.016025641,0,0,7331423.969,3000,3675236,2703376
259,Kimball Elementary School,Elementary,325,343,27.81,60.14,2,4,398,398,38.87906828,-76.93761631,33,7,337,6,0.017492711,185,0.539358601,88,0.256559767,20,0.058309038,44,0.128279883,291,34,0.104615385,180,0.553846154,91,0.28,15,0.046153846,5,0.015384615,8034221.706,3520,4136103,3049204
261,Lafayette Elementary School,Elementary,816,887,73.92,81.51,4,5,805,805,38.96662755,-77.06803712,10,4,524,363,0.409244645,438,0.493799324,11,0.012401353,5,0.005636979,70,0.0789177,412,404,0.495098039,402,0.492647059,5,0.006127451,5,0.006127451,0,0,12665080,6930,6366155,5371216
262,Langdon Elementary School,Elementary,324,353,72.65,65.73,4,4,500,500,38.92470416,-76.97708185,22,5,443,-90,-0.254957507,158,0.447592068,91,0.257790368,48,0.135977337,146,0.413597734,261,63,0.194444444,138,0.425925926,70,0.216049383,39,0.12037037,14,0.043209877,6921951.504,2610,3895729,2804787
264,LaSalle-Backus Education Campus,Elementary_Middle,363,382,55.23,64.1,3,4,400,400,38.95997214,-76.99988254,19,4,338,44,0.115183246,183,0.479057592,84,0.219895288,48,0.12565445,23,0.060209424,316,47,0.129476584,175,0.482093664,76,0.209366391,40,0.110192837,25,0.068870523,11204438,3520,5534604,3244381
266,Leckie Education Campus,Elementary_Middle,558,529,33.85,32.15,2,2,580,580,38.82819678,-77.01289191,39,8,417,112,0.211720227,176,0.332703214,127,0.240075614,114,0.215500945,0,0,470,88,0.157706093,197,0.353046595,154,0.275985663,102,0.182795699,17,0.03046595,10202107.78,4740,5409962,4062673
271,Ludlow-Taylor Elementary School,Elementary,414,439,77.61,51.87,4,3,493,493,38.89874414,-76.99649249,25,6,293,146,0.332574032,222,0.505694761,32,0.072892938,5,0.011389522,34,0.077448747,260,154,0.371980676,184,0.444444444,53,0.128019324,18,0.043478261,5,0.012077295,8931684.255,3510,4973431,3440238
272,Key Elementary School,Elementary,417,399,76.61,76.58,4,4,432,532,38.92680184,-77.10052732,13,3,403,-4,-0.010025063,203,0.50877193,24,0.060150376,5,0.012531328,171,0.428571429,296,121,0.290167866,259,0.621103118,32,0.076738609,5,0.011990408,0,0,7272976.525,3950,3793751,3247182
273,Mann Elementary School,Elementary,400,397,87.12,85.65,5,5,428,428,38.93429231,-77.08782619,13,3,262,135,0.340050378,235,0.591939547,17,0.042821159,5,0.012594458,5,0.012594458,214,186,0.465,204,0.51,5,0.0125,5,0.0125,0,0,6945972.002,3350,3721473,3138698
274,Maury Elementary School,Elementary,407,407,94.38,83.15,5,5,388,388,38.89243712,-76.97856502,25,6,234,173,0.425061425,196,0.481572482,21,0.051597052,12,0.029484029,5,0.012285012,257,150,0.368550369,204,0.501228501,48,0.117936118,5,0.012285012,0,0,7265554.311,3780,3846236,3337536
280,Miner Elementary School,Elementary,345,361,45.31,24.53,3,2,550,550,38.89737602,-76.98290432,25,6,263,98,0.271468144,126,0.349030471,64,0.177285319,48,0.132963989,25,0.069252078,236,109,0.315942029,178,0.515942029,42,0.12173913,11,0.031884058,5,0.014492754,10202898.82,4050,5091971,3519622
284,Marie Reed Elementary School,Elementary,427,437,83.7,67.93,5,4,486,486,38.91911214,-77.04082224,1,1,283,154,0.352402746,196,0.448512586,58,0.132723112,24,0.054919908,5,0.011441648,279,148,0.346604215,182,0.426229508,62,0.145199063,30,0.070257611,5,0.011709602,10435364.13,3940,5364019,3545238
285,Moten Elementary School,Elementary,401,323,13.63,19.87,1,1,480,480,38.856656,-76.98294368,37,8,309,14,0.043343653,84,0.26006192,80,0.247678019,94,0.291021672,51,0.157894737,351,50,0.124688279,57,0.142144638,90,0.224438903,107,0.266832918,97,0.241895262,9921336.535,4270,4914177,3430796
287,Murch Elementary School,Elementary,573,601,79.07,92.3,4,5,730,730,38.95293352,-77.07007921,12,3,396,205,0.34109817,348,0.579034942,38,0.063227953,5,0.008319468,5,0.008319468,427,146,0.254799302,364,0.635253054,53,0.092495637,10,0.017452007,0,0,11984592,6340,5692681,4513199
288,Nalle Elementary School,Elementary,387,370,44.78,54.86,3,3,400,400,38.88595442,-76.93079651,33,7,280,90,0.243243243,184,0.497297297,55,0.148648649,30,0.081081081,11,0.02972973,304,83,0.214470284,181,0.467700258,105,0.271317829,13,0.033591731,5,0.012919897,9386882.005,3890,4589598,3373621
290,Noyes Elementary School,Elementary,195,224,25.08,29.81,2,2,379,379,38.92517798,-76.99184288,22,5,186,38,0.169642857,132,0.589285714,38,0.169642857,11,0.049107143,5,0.022321429,153,42,0.215384615,100,0.512820513,37,0.18974359,11,0.056410256,5,0.025641026,6842275.24,2140,3301360,1978631
291,Boone Elementary School (formerly Orr Elementary),Elementary,404,430,30.82,47.46,2,3,392,492,38.87179716,-76.97448402,34,8,324,106,0.246511628,137,0.318604651,94,0.218604651,69,0.160465116,24,0.055813953,314,90,0.222772277,142,0.351485149,92,0.227722772,52,0.128712871,28,0.069306931,9026511.971,3990,4941263,3649872
292,Oyster Adams Bilingual School (Oyster),Elementary,330,363,80.14,77.53,5,4,375,375,38.92359583,-77.05720337,15,3,508,-145,-0.399449036,422,1.162534435,76,0.209366391,5,0.013774105,5,0.013774105,479,-149,-0.451515152,398,1.206060606,71,0.215151515,5,0.015151515,5,0.015151515,16505914,6430,8171881,6032467
294,Patterson Elementary School,Elementary,374,386,17.74,16.94,1,1,498,498,38.82696636,-77.00848471,39,8,348,38,0.098445596,89,0.230569948,113,0.292746114,76,0.196891192,70,0.18134715,249,125,0.334224599,195,0.521390374,49,0.131016043,5,0.013368984,0,0,10000778.55,4060,5470958,3406907
295,Payne Elementary School,Elementary,315,346,40.08,71.93,3,4,348,348,38.88517068,-76.98498373,26,6,252,94,0.271676301,109,0.315028902,60,0.173410405,45,0.130057803,38,0.10982659,270,45,0.142857143,91,0.288888889,90,0.285714286,62,0.196825397,27,0.085714286,8589652.729,2890,4294371,2578206
296,Bruce-Monroe Elementary School @ Park View,Elementary,473,451,49.24,69.1,3,4,609,609,38.9344141,-77.02118567,2,1,290,161,0.356984479,230,0.509977827,38,0.084257206,17,0.037694013,5,0.011086475,324,149,0.315010571,254,0.536997886,46,0.097251586,14,0.029598309,10,0.021141649,13989297.55,4780,6756915,4091070
299,Plummer Elementary School,Elementary,375,331,45.35,43.81,3,3,448,448,38.8872402,-76.93993468,33,7,280,51,0.15407855,92,0.277945619,102,0.3081571,59,0.178247734,27,0.081570997,332,43,0.114666667,113,0.301333333,169,0.450666667,33,0.088,17,0.045333333,10843364.87,4670,5156682,3468759
300,Powell Elementary School,Elementary,548,535,59.92,62.23,3,4,480,480,38.94162369,-77.03139783,18,4,357,178,0.33271028,294,0.54953271,41,0.076635514,17,0.031775701,5,0.009345794,374,174,0.317518248,286,0.52189781,72,0.131386861,5,0.009124088,11,0.020072993,13538942.59,4960,6798461,4149363
301,Peabody Elementary School (Capitol Hill Cluster),Elementary,227,226,-1,-1,-1,-1,240,240,38.89289632,-76.99985799,25,6,75,151,0.668141593,60,0.265486726,5,0.022123894,5,0.022123894,5,0.022123894,74,153,0.674008811,64,0.281938326,5,0.022026432,5,0.022026432,0,0,4900184.073,2300,2499346,2305263
302,Raymond Education Campus,Elementary_Middle,589,558,59.12,62.46,3,4,649,649,38.93581121,-77.02643266,18,4,472,86,0.154121864,285,0.510752688,134,0.240143369,36,0.064516129,17,0.03046595,512,77,0.130730051,322,0.546689304,148,0.251273345,37,0.062818336,5,0.008488964,14955645.85,5850,7576612,4800454
305,Ross Elementary School,Elementary,174,190,72.96,70.25,4,4,176,176,38.91239115,-77.03966214,6,2,116,74,0.389473684,94,0.494736842,12,0.063157895,5,0.026315789,5,0.026315789,122,52,0.298850575,94,0.540229885,23,0.132183908,5,0.028735632,0,0,4238364.4,1700,2103681,1883594
