school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718,school_budgeted_amount_FY16,school_budgeted_enrollment_FY16,school_budgeted_amount_FY17,school_budgeted_enrollment_FY17,school_capacity_pct_SY1819,school_capacity_pct_SY1718,students_with_absences_SY1819,students_with_absences_SY1718,pct_of_absences_1-5_SY1819,pct_of_student_absences_1-5_SY1819,pct_of_absences_6-10_SY1819,pct_of_student_absences_6-10_SY1819,pct_of_absences_11-20_SY1819,pct_of_student_absences_11-20_SY1819,pct_of_absences_20+_SY1819,pct_of_student_absences_20+_SY1819,pct_of_absences_1-5_SY1718,pct_of_absences_6-10_SY1718,pct_of_absences_11-20_SY1718,pct_of_absences_20+_SY1718,pct_of_student_absences_1-5_SY1718,pct_of_student_absences_6-10_SY1718,pct_of_student_absences_11-20_SY1718,pct_of_student_absences_20+_SY1718
DCPS,213,Brightwood Education Campus,PK3-8th,757.0,57.15,3.0,1069.0,312.0,38.96053573,-77.03068885,Cluster 18,Ward 4,Education Campus/Multi,737.0,59.87,3.0,1069.0,332.0,720,399.0,150.0,62.0,27.0,712.0,407.0,155.0,52.0,12.0,17816696.248652894,6700.0,8951669.0,5271217.0,0.7081384471468662,0.6894293732460243,638.0,626.0,0.6253918495297806,0.5270805812417437,0.23510971786833856,0.19815059445178335,0.09717868338557993,0.08190224570673713,0.04231974921630094,0.035667107001321,0.6501597444089456,0.2476038338658147,0.08306709265175719,0.019169329073482427,0.5522388059701493,0.21031207598371776,0.07055630936227951,0.016282225237449117
DCPS,347,Brookland Middle School,6th-8th,270.0,41.16,3.0,534.0,264.0,38.93874518,-76.99114684,Cluster 20,Ward 5,Middle,238.0,18.56,1.0,534.0,296.0,,,,,,,,,,,,,3793656.0,2327185.0,0.5056179775280899,0.44569288389513106,,,,,,,,,,,,,,,,,,
DCPS,404,Browne Education Campus,PK3-8th,371.0,28.62,2.0,828.0,457.0,38.90259888,-76.97066706,Cluster 23,Ward 5,Education Campus/Multi,325.0,32.78,2.0,828.0,503.0,343,131.0,98.0,60.0,30.0,317.0,157.0,69.0,35.0,12.0,10587752.007446,3360.0,5147917.0,3485916.0,0.44806763285024154,0.392512077294686,319.0,273.0,0.4106583072100313,0.353099730458221,0.3072100313479624,0.2641509433962264,0.18808777429467086,0.16172506738544473,0.09404388714733543,0.08086253369272237,0.575091575091575,0.25274725274725274,0.1282051282051282,0.04395604395604396,0.48307692307692307,0.2123076923076923,0.1076923076923077,0.036923076923076927
DCPS,296,Bruce-Monroe Elementary School @ Park View,PK3-5th,451.0,69.1,4.0,609.0,158.0,38.9344141,-77.02118567,Cluster 2,Ward 1,Elementary,473.0,49.24,3.0,609.0,136.0,380,230.0,38.0,17.0,5.0,397.0,254.0,46.0,14.0,10.0,13989297.550336411,4780.0,6756915.0,4091070.0,0.7405582922824302,0.7766830870279147,290.0,324.0,0.7931034482758621,0.5099778270509978,0.1310344827586207,0.08425720620842572,0.05862068965517241,0.037694013303769404,0.017241379310344827,0.011086474501108648,0.7839506172839507,0.1419753086419753,0.043209876543209874,0.030864197530864196,0.5369978858350951,0.09725158562367865,0.02959830866807611,0.021141649048625793
DCPS,219,Bunker Hill Elementary School,PK3-5th,221.0,34.72,2.0,577.0,356.0,38.94201247,-76.98499564,Cluster 20,Ward 5,Elementary,200.0,49.18,3.0,577.0,377.0,191,101.0,40.0,19.0,5.0,163.0,80.0,48.0,22.0,5.0,4573150.18098785,1500.0,2431546.0,1873046.0,0.3830155979202773,0.3466204506065858,165.0,155.0,0.6121212121212121,0.45701357466063347,0.24242424242424243,0.18099547511312217,0.11515151515151516,0.08597285067873303,0.030303030303030304,0.02262443438914027,0.5161290322580645,0.3096774193548387,0.14193548387096774,0.03225806451612903,0.4,0.24,0.11,0.025
DCPS,220,Burroughs Elementary School,PK3-5th,273.0,62.14,4.0,450.0,177.0,38.93350266,-76.97845637,Cluster 22,Ward 5,Elementary,282.0,58.66,3.0,450.0,168.0,209,87.0,68.0,24.0,15.0,222.0,84.0,63.0,48.0,16.0,7657455.691328352,2500.0,3850677.0,2558075.0,0.6066666666666667,0.6266666666666667,194.0,211.0,0.4484536082474227,0.31868131868131866,0.35051546391752575,0.2490842490842491,0.12371134020618557,0.08791208791208792,0.07731958762886598,0.054945054945054944,0.3981042654028436,0.2985781990521327,0.22748815165876776,0.07582938388625593,0.2978723404255319,0.22340425531914893,0.1702127659574468,0.05673758865248227
DCPS,221,Burrville Elementary School,PK3-5th,295.0,61.44,4.0,400.0,105.0,38.90056577,-76.92445918,Cluster 31,Ward 7,Elementary,300.0,31.72,2.0,400.0,100.0,217,79.0,81.0,35.0,15.0,244.0,59.0,78.0,78.0,22.0,8266426.12198275,3780.0,4070932.0,3084782.0,0.7375,0.75,210.0,237.0,0.3761904761904762,0.2677966101694915,0.38571428571428573,0.2745762711864407,0.16666666666666666,0.11864406779661017,0.07142857142857142,0.05084745762711865,0.2489451476793249,0.3291139240506329,0.3291139240506329,0.09282700421940929,0.19666666666666666,0.26,0.26,0.07333333333333333
DCPS,247,C W Harris Elementary School,PK3-5th,232.0,22.08,2.0,0.0,0.0,38.88359883,-76.9261155,Cluster 33,Ward 7,Elementary,278.0,18.59,1.0,339.0,61.0,206,76.0,58.0,44.0,17.0,251.0,118.0,73.0,37.0,14.0,8655997.781639602,3090.0,4268503.0,2546152.0,inf,0.8200589970501475,195.0,242.0,0.38974358974358975,0.3275862068965517,0.29743589743589743,0.25,0.22564102564102564,0.1896551724137931,0.08717948717948718,0.07327586206896551,0.48760330578512395,0.30165289256198347,0.15289256198347106,0.05785123966942149,0.4244604316546763,0.26258992805755393,0.13309352517985612,0.050359712230215826
DCPS,360,Capitol Hill Montessori School @ Logan,PK3-8th,362.0,65.7,4.0,392.0,30.0,38.89853031,-77.00256647,Cluster 25,Ward 6,Education Campus/Multi,365.0,54.34,3.0,392.0,27.0,259,147.0,47.0,24.0,12.0,259.0,137.0,71.0,29.0,5.0,6855939.997392878,3390.0,3697662.0,3306988.0,0.923469387755102,0.9311224489795918,230.0,242.0,0.6391304347826087,0.40607734806629836,0.20434782608695654,0.1298342541436464,0.10434782608695652,0.06629834254143646,0.05217391304347826,0.03314917127071823,0.5661157024793388,0.29338842975206614,0.11983471074380166,0.02066115702479339,0.37534246575342467,0.19452054794520549,0.07945205479452055,0.0136986301369863
DCPS,454,Cardozo Education Campus,6th-12th,746.0,16.17,1.0,1070.0,324.0,38.92217286,-77.02847069,Cluster 2,Ward 1,Education Campus/Multi,788.0,15.12,1.0,1070.0,282.0,717,95.0,95.0,153.0,364.0,730.0,111.0,125.0,164.0,316.0,25095524.008020498,8440.0,13473353.0,6689482.0,0.697196261682243,0.7364485981308411,707.0,716.0,0.13437057991513437,0.12734584450402145,0.13437057991513437,0.12734584450402145,0.2164073550212164,0.20509383378016086,0.5148514851485149,0.4879356568364611,0.15502793296089384,0.17458100558659218,0.22905027932960895,0.441340782122905,0.14086294416243655,0.15862944162436549,0.20812182741116753,0.4010152284263959
